Product,GEO,Gender,scene_1_lipsync,scene_2_lipsync,scene_3_lipsync,Broll,Endcard
15_000_de_descuento,MLA,female,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/35_15_000_de_descuento-MLA-female/35_15_000_de_descuento-MLA-female_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/35_15_000_de_descuento-MLA-female/35_15_000_de_descuento-MLA-female_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/35_15_000_de_descuento-MLA-female/35_15_000_de_descuento-MLA-female_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/15K-DE-DESCUENTO-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA- Ahorrá con tu cuenta digital.mov
15_000_de_descuento,MLA,male,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/36_15_000_de_descuento-MLA-male/36_15_000_de_descuento-MLA-male_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/36_15_000_de_descuento-MLA-male/36_15_000_de_descuento-MLA-male_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/36_15_000_de_descuento-MLA-male/36_15_000_de_descuento-MLA-male_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/15K-DE-DESCUENTO-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA- Ahorrá con tu cuenta digital.mov
15_000_de_descuento,MLA,male,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/7_15_000_de_descuento-MLA-male/7_15_000_de_descuento-MLA-male_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/7_15_000_de_descuento-MLA-male/7_15_000_de_descuento-MLA-male_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/7_15_000_de_descuento-MLA-male/7_15_000_de_descuento-MLA-male_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/15K-DE-DESCUENTO-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA- Ahorrá con tu cuenta digital.mov
15_000_de_descuento,MLA,female,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/82_15_000_de_descuento-MLA-female/82_15_000_de_descuento-MLA-female_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/82_15_000_de_descuento-MLA-female/82_15_000_de_descuento-MLA-female_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/82_15_000_de_descuento-MLA-female/82_15_000_de_descuento-MLA-female_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/15K-DE-DESCUENTO-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA- Ahorrá con tu cuenta digital.mov
15_000_de_descuento,MLA,male,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/83_15_000_de_descuento-MLA-male/83_15_000_de_descuento-MLA-male_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/83_15_000_de_descuento-MLA-male/83_15_000_de_descuento-MLA-male_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/83_15_000_de_descuento-MLA-male/83_15_000_de_descuento-MLA-male_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/15K-DE-DESCUENTO-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA- Ahorrá con tu cuenta digital.mov
15_000_de_descuento,MLA,male,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/84_15_000_de_descuento-MLA-male/84_15_000_de_descuento-MLA-male_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/84_15_000_de_descuento-MLA-male/84_15_000_de_descuento-MLA-male_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/84_15_000_de_descuento-MLA-male/84_15_000_de_descuento-MLA-male_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/15K-DE-DESCUENTO-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA- Ahorrá con tu cuenta digital.mov
cuotas_sin_tarjeta,MLA,male,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/10_cuotas_sin_tarjeta-MLA-male/10_cuotas_sin_tarjeta-MLA-male_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/10_cuotas_sin_tarjeta-MLA-male/10_cuotas_sin_tarjeta-MLA-male_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/10_cuotas_sin_tarjeta-MLA-male/10_cuotas_sin_tarjeta-MLA-male_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/INGRESO-APP-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA - Pagá con Cuotas sin Tarjeta.mov
cuotas_sin_tarjeta,MLA,female,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/37_cuotas_sin_tarjeta-MLA-female/37_cuotas_sin_tarjeta-MLA-female_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/37_cuotas_sin_tarjeta-MLA-female/37_cuotas_sin_tarjeta-MLA-female_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/37_cuotas_sin_tarjeta-MLA-female/37_cuotas_sin_tarjeta-MLA-female_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/INGRESO-APP-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA - Pagá con Cuotas sin Tarjeta.mov
cuotas_sin_tarjeta,MLA,male,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/38_cuotas_sin_tarjeta-MLA-male/38_cuotas_sin_tarjeta-MLA-male_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/38_cuotas_sin_tarjeta-MLA-male/38_cuotas_sin_tarjeta-MLA-male_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/38_cuotas_sin_tarjeta-MLA-male/38_cuotas_sin_tarjeta-MLA-male_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/INGRESO-APP-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA - Pagá con Cuotas sin Tarjeta.mov
paga_tus_servicios,MLA,female,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/31_paga_tus_servicios-MLA-female/31_paga_tus_servicios-MLA-female_scene_1_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/31_paga_tus_servicios-MLA-female/31_paga_tus_servicios-MLA-female_scene_2_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/MLA_NEW/31_paga_tus_servicios-MLA-female/31_paga_tus_servicios-MLA-female_scene_3_lipsync.mp4,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/INGRESO-APP-MLA.mov,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Users/Assets/MLA - Pagá tus servicios ahora.mov
