Parent Folder,Filename,Type,Public URL,Finished
699_smart_2-MLM-female,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/scene_1_hook.mp3,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_3_lipsync.mp4,Yes
699_smart_2-MLM-female,scene_2_body.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/scene_2_body.mp3,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_2.mp4,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_3.mp4,
699_smart_2-MLM-female,699_smart_2-MLM-female_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/699_smart_2-MLM-female/699_smart_2-MLM-female_scene_1.mp4,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_1_nobg.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_1_nobg.png,
698_smart_2-MLM-male,scene_2_testimonial.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/scene_2_testimonial.mp3,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_1.png,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_2.png,
698_smart_2-MLM-male,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/scene_3_cta.mp3,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_3.png,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_3_lipsync.mp4,Yes
698_smart_2-MLM-male,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/scene_1_hook.mp3,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_1_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_1_lipsync.mp4,Yes
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_2.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_2.mp4,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_3.mp4,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_1.mp4,
698_smart_2-MLM-male,698_smart_2-MLM-male_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/698_smart_2-MLM-male/698_smart_2-MLM-male_scene_2_lipsync.mp4,Yes
694_smart_2-MLM-female,scene_3_cta.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/scene_3_cta.mp3,
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_3_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_3_lipsync.mp4,Yes
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_3.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_3.png,
694_smart_2-MLM-female,scene_1_hook.mp3,audio,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/scene_1_hook.mp3,
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_2.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_2.png,
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_1.png,image,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_1.png,
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_2_lipsync.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_2_lipsync.mp4,Yes
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_1.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_1.mp4,
694_smart_2-MLM-female,694_smart_2-MLM-female_scene_3.mp4,video,https://s3.us-east-2.amazonaws.com/meli-ai.filmmaker/MP-Sellers/Outputs 28-1/694_smart_2-MLM-female/694_smart_2-MLM-female_scene_3.mp4,
